日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20210917,       5250,       5310,       5250,       5280,       5316,       5252,       5048,  5273.1107,         359400,         397080,         611996
20210916,       5310,       5330,       5240,       5250,       5330,       5239,    5043.93,  5271.7078,         336100,         481100,         646224
20210915,       5340,       5350,       5260,       5290,       5354,     5225.4,       5040,  5302.9639,         382600,         601100,         653228
20210914,       5370,       5410,       5330,       5360,       5352,     5209.8,     5035.2,  5355.7057,         483200,         614620,         663952
20210913,       5350,       5410,       5330,       5400,       5334,     5190.4,    5029.53,  5384.6098,         424100,         600220,         666968
20210910,       5390,       5420,       5330,       5350,       5304,     5170.2,     5023.6,   5371.914,         779500,         588520,         664044
20210909,       5280,       5370,       5270,       5370,       5288,     5152.8,    5018.53,  5336.7546,         936100,         529940,         642924
20210908,       5260,       5280,       5240,       5280,       5274,     5134.6,    5013.33,  5263.4629,         450200,         464120,         625300
20210907,       5240,       5280,       5240,       5270,       5254,       5121,    5009.46,  5260.6809,         411200,         538240,         618808
20210906,       5270,       5290,       5240,       5250,       5250,     5108.6,     5005.8,  5258.6296,         365600,         552140,         615296
20210903,       5310,       5320,       5260,       5270,       5246,     5096.2,    5002.73,  5284.4595,         486600,         551660,         612172
20210902,       5210,       5300,       5200,       5300,       5246,     5083.8,    4999.66,  5257.7825,         607000,         574800,         602624
20210901,       5240,       5300,       5170,       5180,       5244,     5069.6,    4996.06,  5232.6206,         820800,         550680,         589884
20210831,       5210,       5280,       5190,       5250,       5254,     5060.4,    4994.73,  5250.7843,         480700,         480440,         573896
20210830,       5250,       5260,       5190,       5230,       5258,     5047.8,    4990.86,  5220.4818,         363200,         482620,         566484
20210827,       5300,       5320,       5250,       5270,       5268,     5035.6,    4987.66,  5282.8673,         602300,         529500,         563824
20210826,       5220,       5290,       5210,       5290,       5274,       5022,    4983.93,  5276.1739,         486400,         597000,         559000
20210825,       5230,       5240,       5180,       5230,       5258,     5008.8,    4980.06,  5211.0328,         469600,         775240,         563824
20210824,       5240,       5280,       5230,       5270,       5236,       4997,       4977,  5249.6094,         491600,         890980,         568940
20210823,       5270,       5290,       5170,       5280,       5186,     4984.6,    4973.06,  5250.5807,         597600,         997220,         578340
20210820,       5200,       5300,       5170,       5300,       5126,     4971.6,     4969.2,  5246.9462,         939800,         993220,         582264
20210819,       5100,       5210,       5060,       5210,       5057,     4957.8,     4965.2,  5165.5887,        1377600,        1048280,         567532
20210818,       5000,       5120,       4995,       5120,       4997,     4946.8,     4962.4,  5069.7315,        1048300,         875000,         535824
20210817,       4985,       5020,       4980,       5020,       4953,     4939.2,    4961.06,  5004.3176,        1022800,         795480,         524004
20210816,       4955,       4980,       4950,       4980,       4924,     4936.4,    4961.46,  4972.5892,         577600,         702640,         507104
20210813,       4925,       4980,       4920,       4955,       4907,     4934.4,       4962,     4949.5,        1215100,         657320,         527496
20210812,       4890,       4920,       4885,       4910,       4899,     4932.4,    4962.73,  4901.1375,         511200,         464600,         497444
20210811,       4885,       4900,       4850,       4900,       4900,     4932.2,     4964.6,  4875.5095,         650700,         461460,         493632
20210810,       4895,       4900,       4860,       4875,       4908,     4932.2,    4966.46,  4883.5437,         558600,         388900,         487424
20210806,       4910,       4920,       4895,       4895,       4925,     4933.6,    4968.66,   4903.584,         351000,         341860,         482704
20210805,       4905,       4935,       4905,       4915,       4934,     4933.8,     4970.6,  4919.7376,         251500,         329160,         498320
20210804,       4945,       4950,       4900,       4915,       4943,       4935,     4972.4,   4915.335,         495500,         328440,         564672
20210803,       4940,       4970,       4940,       4940,       4949,       4936,     4974.2,  4952.1014,         287900,         287040,         650452
20210802,       4945,       4970,       4940,       4960,       4951,     4936.8,     4976.2,  4957.2356,         323400,         313680,         695300
20210730,       4950,       4960,       4940,       4940,       4946,     4936.6,     4978.2,  4948.1757,         287500,         308080,         717952
20210729,       4950,       4960,       4940,       4960,       4943,     4937.6,     4980.2,  4954.4111,         247900,         309920,         760744
20210728,       4950,       4970,       4940,       4945,       4937,     4937.2,     4982.2,  4954.0433,         288500,         356680,         786196
20210727,       4935,       4970,       4935,       4950,       4940,       4937,       4984,  4953.8768,         421100,         420380,         822964
20210726,       4945,       4950,       4930,       4935,       4937,     4937.2,       4986,  4939.5667,         295400,         455660,         879068
20210721,       4945,       4960,       4920,       4925,       4942,     4938.8,    4988.46,   4936.665,         296700,         541900,         897388
20210720,       4945,       4950,       4915,       4930,       4948,     4941.2,    4990.53,  4928.3351,         481700,         621700,         914288
20210719,       4940,       4970,       4925,       4960,       4953,     4943.6,     4992.8,  4953.1442,         607000,         639660,         936588
20210716,       4950,       4950,       4910,       4935,       4948,     4945.2,     4995.6,  4935.4251,         597500,         635240,         936280
20210715,       4960,       4980,       4945,       4960,       4947,     4948.2,     4998.6,  4962.6899,         726600,         666300,         962328
20210714,       4950,       4975,       4945,       4955,       4945,       4949,     5001.4,  4962.0584,         695700,         641040,         963824
20210713,       4930,       4955,       4915,       4955,       4940,       4952,    5004.13,  4944.9379,         571500,         719380,         965440
20210712,       4935,       4950,       4920,       4935,       4930,     4954.2,    5006.46,  4932.5449,         584900,         697840,         983200
20210709,       4925,       4930,       4890,       4930,       4924,       4955,    5008.93,  4907.6222,         752800,         664040,         988384
20210708,       4910,       4955,       4900,       4950,       4918,     4956.8,     5011.6,  4936.2777,         600300,         612580,        1002500
20210707,       4900,       4950,       4885,       4930,       4910,     4957.2,    5014.26,  4919.8588,        1087400,         580640,        1009724
20210706,       4900,       4915,       4895,       4905,       4904,     4957.6,    5017.06,  4904.8609,         463800,         511440,        1022412
20210705,       4895,       4920,       4895,       4905,       4912,     4960.4,    5020.33,  4905.3186,         415900,         800740,        1033080
