日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20210917,      23950,      24370,      22550,      24020,      23666,    18640.4,   15138.66, 23780.9808,         177400,         201020,          85944
20210916,      25000,      25000,      23050,      23540,      23592,    18269.2,   14983.86, 23795.6121,         257300,         189040,          79516
20210915,      23250,      25110,      23150,      24920,      23392,    17911.6,   14834.13,  24403.566,         184800,         166100,          69992
20210914,      22500,      23470,      22500,      23350,      22824,    17491.2,   14664.26,  23114.674,         118100,         155900,          63636
20210913,      23150,      23560,      22230,      22500,      22262,    17145.6,   14509.73, 22723.1327,         267500,         153600,          59756
20210910,      22700,      23700,      22680,      23650,      21754,    16825.6,      14366, 23263.0723,         117500,         120380,          50364
20210909,      22110,      22690,      21730,      22540,      20724,      16444,    14206.4, 22343.9902,         142600,         114760,          47032
20210908,      20750,      22100,      20620,      22080,      19672,    16109.2,    14057.6, 21590.8296,         133800,          93480,          45132
20210907,      19980,      20820,      19930,      20540,      18590,      15824,   13917.46, 20496.0319,         106600,          71020,          41232
20210906,      19500,      20060,      19150,      19960,      17824,    15605.2,   13800.13, 19776.4793,         101400,          58320,          38044
20210903,      17410,      18570,      17400,      18500,      17204,    15406.8,   13684.93, 18153.9933,          89400,          44540,          35520
20210902,      16710,      17280,      16700,      17280,      16764,    15268.8,    13587.2, 17107.7072,          36200,          36780,          34432
20210901,      16540,      16790,      16520,      16670,      16566,    15142.4,   13505.06, 16663.5349,          21500,          42460,          34164
20210831,      17100,      17250,      16650,      16710,      16310,    15052.4,    13431.2, 16851.4153,          43100,          44140,          34288
20210830,      16700,      16940,      16300,      16860,      16056,    14957.2,    13356.4, 16739.4154,          32500,          40260,          33672
20210827,      16600,      16650,      16150,      16300,      15702,    14837.6,   13288.66, 16349.7036,          50600,          37840,          33096
20210826,      15490,      16350,      15380,      16290,      15346,    14727.2,   13229.73, 16120.7276,          64600,          31660,          31852
20210825,      15420,      15420,      15220,      15390,      15024,      14624,    13173.2, 15312.2074,          29900,          23700,          29824
20210824,      15010,      15440,      14960,      15440,      14928,    14558.4,   13129.73, 15252.1941,          23700,          22440,          29316
20210823,      14520,      15090,      14520,      15090,      14852,    14483.6,   13087.06,  14862.402,          20400,          23180,          29448
20210820,      14670,      14760,      14500,      14520,      14876,    14414.8,   13052.26, 14588.5787,          19700,          25940,          29344
20210819,      14780,      14860,      14680,      14680,      14920,      14372,   13022.13, 14769.0726,          24800,          25340,          29184
20210818,      15060,      15060,      14840,      14910,      14904,      14328,    12989.6, 14921.6949,          23600,          24220,          29152
20210817,      15240,      15260,      15060,      15060,      14804,    14268.8,   12954.26, 15137.4088,          27400,          24680,          29176
20210816,      15020,      15250,      14950,      15210,      14734,    14210.4,   12915.33, 15109.5906,          34200,          23420,          28792
20210813,      14640,      14870,      14640,      14740,      14592,    14150.8,   12873.06, 14760.2994,          16700,          23120,          28184
20210812,      14410,      14680,      14310,      14600,      14466,    14115.6,    12835.6,  14596.875,          19200,          26620,          28992
20210811,      14670,      14820,      14370,      14410,      14380,    14089.2,    12801.6, 14519.7297,          25900,          41800,          29808
20210810,      14630,      14820,      14580,      14710,      14488,    14052.4,   12773.06, 14722.2275,          21100,          43880,          29716
20210806,      14200,      14600,      14200,      14500,      14560,    13991.6,    12743.2, 14477.0948,          32700,          45040,          30248
20210805,      14100,      14290,      13840,      14110,      14660,    13938.4,   12715.33, 14056.6667,          34200,          46160,          30696
20210804,      14350,      14870,      13720,      14170,      14848,    13878.4,   12692.66, 14118.8749,          95100,          51760,          30188
20210803,      14930,      15160,      14590,      14950,      14838,      13824,    12667.6, 14866.5565,          36300,          38640,          27296
20210802,      15010,      15240,      14960,      15070,      14732,    13726.4,      12632,  15067.881,          26900,          36300,          26304
20210730,      15390,      15500,      14970,      15000,      14584,    13616.8,    12597.2, 15152.4282,          38300,          36460,          25604
20210729,      14600,      15060,      14370,      15050,      14358,    13515.6,    12561.2, 14714.5981,          62200,          32420,          24440
20210728,      14400,      14410,      14020,      14120,      14056,    13411.6,   12521.46, 14159.4576,          29500,          23880,          22864
20210727,      14260,      14500,      14150,      14420,      13974,    13344.8,    12489.2, 14374.0244,          24600,          20760,          22160
20210726,      14000,      14440,      14000,      14330,      13840,    13270.8,    12451.6, 14275.1264,          27700,          19280,          22516
20210721,      13790,      13950,      13690,      13870,      13688,    13198.8,      12416, 13857.9558,          18100,          19140,          22032
20210720,      13700,      13740,      13470,      13540,      13588,      13142,   12387.33, 13578.4103,          19500,          19080,          21808
20210719,      13650,      13780,      13620,      13710,      13570,    13098.4,    12364.8, 13706.1151,          13900,          18320,          21556
20210716,      13450,      13790,      13450,      13750,      13544,    13049.6,   12334.13, 13660.6977,          17200,          20340,          22064
20210715,      13420,      13770,      13420,      13570,      13480,    12983.6,   12306.26, 13607.4815,          27000,          21740,          22316
20210714,      13450,      13590,      13370,      13370,      13486,    12927.2,    12277.6, 13449.6067,          17800,          19900,          21652
20210713,      13570,      13590,      13430,      13450,      13556,    12873.2,   12249.73, 13490.8917,          15700,          20140,          21712
20210712,      13450,      13610,      13360,      13580,      13638,    12829.2,    12218.8, 13527.4583,          24000,          24380,          21524
20210709,      13500,      13530,      13270,      13430,      13710,    12780.8,   12185.06, 13396.8595,          24200,          27500,          21016
20210708,      13720,      13800,      13560,      13600,      13722,    12733.2,   12153.73, 13653.2584,          17800,          27380,          20632
20210707,      13870,      13870,      13560,      13720,      13640,    12685.2,    12121.2, 13721.4737,          19000,          30700,          20900
20210706,      13950,      13950,      13500,      13860,      13530,    12624.8,   12090.53, 13696.6667,          36900,          35680,          21372
20210705,      13540,      14070,      13540,      13940,      13280,    12566.8,   12057.86, 13913.2828,          39600,          32600,          20492
20210702,      13340,      13550,      13320,      13490,      13054,    12501.6,   12025.73, 13464.2373,          23600,          29240,          19812
20210701,      13300,      13460,      13190,      13190,      12858,    12449.2,    11995.2, 13303.6047,          34400,          26820,          19836
20210630,      12690,      13170,      12680,      13170,      12686,      12392,    11970.8, 13030.8656,          43900,          21820,          19456
20210629,      12810,      12810,      12550,      12610,      12546,      12334,   11942.93, 12638.5116,          21500,          14880,          18344
20210628,      12510,      12830,      12510,      12810,      12514,    12296.8,   11916.66, 12747.7632,          22800,          15140,          18140
20210625,      12440,      12530,      12380,      12510,      12442,    12239.6,   11883.33, 12441.4783,          11500,          12960,          18048
20210624,      12470,      12500,      12300,      12330,      12454,      12202,    11855.2, 12369.2553,           9400,          17360,          18576
20210623,      12500,      12600,      12430,      12470,      12494,    12178.4,   11827.46, 12502.2826,           9200,          18600,          19136
20210622,      12600,      12660,      12400,      12450,      12490,    12132.4,   11797.46, 12493.2895,          22800,          19260,          20208
20210621,      12480,      12640,      12400,      12450,      12490,    12081.2,   11770.26, 12519.2437,          11900,          17340,          19992
20210618,      12570,      12930,      12510,      12570,      12498,      12028,   11744.93, 12665.7313,          33500,          20280,          20672
20210617,      12480,      12590,      12360,      12530,      12404,    11970.4,      11716, 12493.9103,          15600,          18280,          21712
20210616,      12480,      12510,      12360,      12450,      12330,    11913.2,   11695.33,   12437.04,          12500,          17240,          23460
20210615,      12540,      12540,      12410,      12450,      12244,    11886.4,    11678.8, 12453.4091,          13200,          18600,          23620
20210614,      12210,      12540,      12130,      12490,      12224,    11863.6,    11659.6, 12409.9248,          26600,          18160,          24244
20210611,      12180,      12210,      12000,      12100,      12200,      11846,   11646.93, 12110.4681,          23500,          15100,          24132
20210610,      12160,      12180,      12080,      12160,      12228,    11847.2,   11644.66, 12132.3077,          10400,          13320,          24068
20210609,      12390,      12390,      12020,      12020,      12276,    11850.4,   11636.53, 12164.4041,          19300,          16140,          24740
20210608,      12370,      12380,      12300,      12350,      12314,    11868.8,   11629.06, 12330.5455,          11000,          18440,          24944
20210607,      12280,      12410,      12260,      12370,      12326,    11865.2,   11613.86, 12324.6018,          11300,          19220,          25420
20210604,      12310,      12310,      12140,      12240,      12314,      11860,   11597.33, 12214.6575,          14600,          21480,          25652
20210603,      12210,      12500,      12110,      12400,      12302,    11860.8,   11580.66, 12349.8776,          24500,          23400,          25500
20210602,      12470,      12470,      11990,      12210,      12174,    11850.4,   11560.66, 12177.0779,          30800,          23480,          25080
20210601,      12430,      12440,      12250,      12410,      12076,    11843.6,   11540.53, 12350.7383,          14900,          20540,          24412
20210531,      12250,      12460,      12090,      12310,      11930,    11824.4,    11512.8, 12324.2478,          22600,          20840,          24580
20210528,      11800,      12190,      11800,      12180,      11744,      11814,   11488.13, 12019.2562,          24200,          20420,          24604
20210527,      11720,      11890,      11670,      11760,      11622,    11817.6,   11461.73,  11771.004,          24900,          20520,          24868
20210526,      11980,      12000,      11630,      11720,      11618,      11846,    11441.2, 11772.9193,          16100,          20220,          25096
20210525,      11400,      11780,      11400,      11680,      11538,    11873.6,   11421.73, 11642.8659,          16400,          24200,          25908
20210524,      11630,      11640,      11350,      11380,      11436,    11902.8,   11400.13, 11458.0976,          20500,          24400,          25948
