日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20210917,       3735,       3785,       3645,       3715,       3857,    3304.52,    3154.94,  3704.0509,        1539800,        1986600,        1932092
20210916,       3980,       3980,       3575,       3710,       3887,    3263.36,    3142.01,  3730.5447,        3180600,        2105720,        1902020
20210915,       3915,       4015,       3900,       3940,       3870,    3224.92,    3127.96,  3960.0946,        1172900,        1899340,        1795892
20210914,       4040,       4050,       3915,       3960,       3814,    3177.44,    3109.09,  3972.6447,        1651200,        2084240,        1777600
20210913,       3935,       4100,       3910,       3960,       3720,    3132.32,    3090.02,  3988.5805,        2388500,        2112300,        1738520
20210910,       3695,       3895,       3665,       3865,       3634,    3086.04,    3067.97,  3808.4916,        2135400,        2137220,        1671420
20210909,       3590,       3760,       3555,       3625,       3524,    3045.72,    3046.76,  3664.4606,        2148700,        1948140,        1602816
20210908,       3440,       3670,       3425,       3660,       3451,    3014.96,    3028.29,  3584.6486,        2097400,        1777060,        1540860
20210907,       3600,       3625,       3440,       3490,       3380,    2985.48,    3009.18,  3518.7371,        1791500,        1745060,        1486388
20210906,       3415,       3550,       3335,       3530,       3330,    2959.36,    2993.05,  3468.4599,        2513100,        1825140,        1461808
20210903,       3330,       3360,       3240,       3315,       3237,    2933.64,    2974.54,  3312.9382,        1190000,        1671200,        1387276
20210902,       3300,       3365,       3240,       3260,     3145.4,    2918.52,    2959.21,  3303.6581,        1293300,        1610340,        1371952
20210901,       3300,       3350,       3205,       3305,       3080,    2901.12,    2945.48,  3287.3245,        1937400,        1663880,        1368020
20210831,       3070,       3275,       3045,       3240,     2993.4,    2886.04,    2930.74,  3199.5543,        2191900,        1545480,        1312840
20210830,       3040,       3080,       2977,       3065,       2922,    2875.44,    2916.04,  3034.0306,        1743400,        1468780,        1248352
20210827,       2911,       2924,       2841,       2857,     2844.8,    2870.52,    2905.13,  2876.6817,         885700,        1404940,        1209996
20210826,       2938,       2981,       2917,       2933,     2806.2,    2872.68,    2898.48,  2945.6683,        1561000,        1641300,        1221060
20210825,       2897,       2932,       2816,       2872,     2789.6,    2872.72,    2892.05,  2875.6564,        1345400,        1814160,        1209188
20210824,       2761,       2913,       2748,       2883,     2833.2,    2881.24,    2886.77,  2856.1857,        1808400,        2042240,        1188260
20210823,       2687,       2736,       2630,       2679,     2847.6,    2889.92,    2880.46,  2685.0911,        1424200,        2644760,        1142884
20210820,       2870,       2922,       2655,       2664,     2949.8,    2909.76,    2877.44,  2762.0709,        2067500,        2460500,        1116744
20210819,       3010,       3035,       2830,       2850,     2954.2,       2931,    2875.25,  2915.6605,        2425300,        2204600,        1071184
20210818,       2920,       3105,       2872,       3090,       2934,     2940.4,    2869.92,  3002.4783,        2485800,        1825020,        1017812
20210817,       3145,       3170,       2899,       2955,     2866.6,     2939.4,    2862.73,   3012.886,        4821000,        1470980,         977076
20210816,       3190,       3190,       3190,       3190,       2842,    2937.32,    2855.82,       3190,         502900,         641620,         845420
20210813,       2760,       2776,       2655,       2686,     2764.6,    2930.52,    2845.94,  2693.0249,         788000,         683240,         858668
20210812,       2742,       2778,       2715,       2749,     2798.8,    2947.28,    2841.28,  2753.1663,         527400,         609700,         849096
20210811,       2833,       2835,       2731,       2753,     2820.2,    2964.32,    2836.97,  2774.8502,         715600,         624180,         855088
20210810,       2753,       2868,       2753,       2832,     2854.2,       2980,    2832.66,  2828.3161,         674200,         628180,         881988
20210806,       2835,       2862,       2773,       2803,     2855.2,    2997.12,    2827.61,   2797.644,         711000,         728740,         904312
20210805,       2847,       2901,       2841,       2857,       2872,     3021.6,    2822.26,  2863.0876,         420300,         716500,         928228
20210804,       2950,       2960,       2840,       2856,       2888,    3041.32,     2816.7,  2873.8093,         599800,         793820,        1012616
20210803,       2848,       2949,       2848,       2923,     2881.8,    3062.28,    2811.09,  2917.7573,         735600,         912860,        1018348
20210802,       2813,       2900,       2743,       2837,     2882.8,    3082.76,    2804.54,  2816.2166,        1177000,         877320,        1029228
20210730,       2917,       2941,       2859,       2887,     2910.4,    3104.68,    2800.24,  2891.8012,         649800,         757860,        1039132
20210729,       2869,       2950,       2826,       2937,     2921.4,     3123.6,     2795.7,  2910.6563,         806900,         784800,        1059396
20210728,       2878,       2910,       2783,       2825,     2916.2,    3141.32,    2790.62,  2839.9367,        1195000,         855880,        1068356
20210727,       2960,       2986,       2911,       2928,       2938,    3159.32,    2785.48,  2939.8299,         557900,         869720,        1056400
20210726,       2983,       3015,       2956,       2975,     2969.4,       3176,     2779.2,  2982.2838,         579700,         922580,        1097084
20210721,       2988,       2994,       2912,       2942,     2994.4,     3189.8,    2772.14,  2948.4233,         784500,         941440,        1108424
20210720,       2934,       3025,       2906,       2911,       3041,    3202.32,    2763.26,  2954.1428,        1162300,         938680,        1133332
20210719,       3005,       3055,       2900,       2934,     3097.8,    3217.88,     2753.9,  2948.3973,        1264200,         891920,        1127024
20210716,       3130,       3145,       3045,       3085,       3128,    3231.12,    2744.06,  3095.8757,         822200,         857280,        1127836
20210715,       3165,       3175,       3065,       3100,       3124,    3231.72,    2731.13,  3110.2248,         674000,         986320,        1129324
20210714,       3170,       3275,       3150,       3175,     3084.6,    3230.72,    2718.48,  3217.0267,         770700,        1157440,        1156200
20210713,       3130,       3230,       3120,       3195,     3053.6,    3224.92,    2705.34,  3188.2558,         928500,        1170120,        1198332
20210712,       3100,       3120,       3005,       3085,     3035.6,    3225.72,    2691.57,   3072.374,        1091000,        1094160,        1210296
20210709,       2853,       3080,       2846,       3065,     3053.6,    3231.72,    2680.37,  2972.1069,        1467400,        1011400,        1257660
20210708,       3005,       3015,       2857,       2903,     3069.6,    3237.52,    2669.72,  2930.7786,        1529600,         995540,        1313132
20210707,       3030,       3105,       2992,       3020,       3141,     3240.8,    2660.76,  3035.2787,         834100,         936080,        1414032
20210706,       3140,       3200,       3100,       3105,       3220,     3229.8,     2650.2,  3138.3762,         548700,        1031040,        1442044
20210705,       3100,       3185,       3070,       3175,       3269,     3215.4,    2637.93,  3129.8959,         677200,        1427300,        1494428
20210702,       3220,       3280,       3110,       3145,       3310,    3194.64,    2624.26,  3175.0576,        1388100,        1440480,        1565304
20210701,       3400,       3400,       3260,       3260,       3368,    3169.84,    2610.88,  3302.3667,        1232300,        1364380,        1581152
20210630,       3300,       3440,       3255,       3415,       3393,    3140.64,    2596.65,  3370.2074,        1308900,        1402840,        1608776
20210629,       3480,       3570,       3265,       3350,       3382,    3096.28,    2578.42,  3385.3138,        2530000,        1372340,        1579024
20210628,       3435,       3450,       3350,       3380,       3388,    3053.24,     2561.5,  3390.8263,         743100,        1072520,        1502804
20210625,       3385,       3450,       3320,       3435,       3367,    3007.64,    2544.49,  3383.7336,        1007600,        1103120,        1495616
20210624,       3365,       3520,       3325,       3385,       3349,    2959.32,    2527.69,  3446.6061,        1424600,        1216600,        1490432
20210623,       3400,       3430,       3240,       3360,       3336,    2915.12,    2511.76,  3321.7961,        1156400,        1104320,        1478332
20210622,       3365,       3380,       3235,       3380,       3315,     2866.4,     2497.5,  3318.5023,        1030900,        1154480,        1461492
20210621,       3250,       3370,       3230,       3275,       3299,     2817.8,       2484,  3290.0312,         896100,        1149220,        1471208
20210618,       3355,       3465,       3325,       3345,       3297,       2776,    2471.77,  3405.1044,        1575000,        1226900,        1527876
20210617,       3230,       3350,       3200,       3320,       3248,     2730.2,    2457.82,  3288.7564,         863200,        1083780,        1501012
20210616,       3235,       3390,       3185,       3255,       3199,    2682.88,    2441.89,  3282.6187,        1407200,        1180320,        1513748
20210615,       3335,       3340,       3205,       3300,       3154,    2642.56,    2428.45,  3283.2849,        1004600,        1263680,        1501348
20210614,       3150,       3300,       3120,       3265,       3137,    2604.88,    2414.28,  3235.3702,        1284500,        1308280,        1493004
20210611,       3070,       3120,       2990,       3100,       3131,    2572.32,    2401.98,  3043.8547,         859400,        1506400,        1464904
20210610,       2969,       3105,       2940,       3075,       3153,    2547.36,    2388.92,  3055.9554,        1345900,        1905360,        1451024
20210609,       3240,       3280,       2991,       3030,       3135,    2520.76,    2374.82,  3081.9849,        1824000,        2446600,        1417116
20210608,       3230,       3330,       3185,       3215,       3078,    2497.64,    2361.89,  3243.6347,        1227600,        2388680,        1361376
20210607,       3350,       3370,       3160,       3235,       2984,    2469.04,    2345.37,  3266.2909,        2275100,        2514820,        1337228
20210604,       2950,       3220,       2926,       3210,     2868.2,    2437.64,    2327.54,  3121.9309,        2854200,        2549620,        1276028
20210603,       2890,       3010,       2888,       2985,     2731.2,    2411.28,    2309.53,  2953.4806,        4052100,        2335640,        1207076
20210602,       2745,       2798,       2708,       2745,     2640.2,    2389.36,    2292.28,   2752.009,        1534400,        1909800,        1066760
20210601,       2648,       2759,       2627,       2745,     2552.4,    2377.52,     2278.5,    2704.45,        1858300,        1715940,        1033644
20210531,       2590,       2685,       2589,       2656,     2458.2,    2361.16,    2264.16,  2646.2216,        2449100,        1469180,         985008
20210528,       2552,       2563,       2445,       2525,       2375,    2351.96,    2251.73,   2514.227,        1784300,        1092040,         912536
20210527,       2377,       2530,       2362,       2530,     2315.4,    2348.16,    2240.81,   2454.526,        1922900,         910780,         866620
20210526,       2265,       2346,       2256,       2306,     2265.4,    2345.08,    2230.46,   2313.671,         565100,         750620,         822816
20210525,       2270,       2304,       2260,       2274,     2232.6,    2348.92,     2223.4,  2279.0003,         624500,         784680,         813812
20210524,       2245,       2288,       2230,       2240,     2210.8,    2355.56,    2216.28,  2255.6258,         563400,         914540,         812292
20210521,       2315,       2342,       2224,       2227,     2208.8,    2363.36,    2208.86,  2263.1973,         878000,        1264420,         811420
20210520,       2149,       2288,       2135,       2280,     2203.4,    2371.56,    2201.89,  2247.8662,        1122100,        1269500,         805744
20210519,       2120,       2190,       2119,       2142,     2174.8,    2380.92,    2194.18,  2148.7798,         735400,        1281400,         790876
20210518,       2210,       2211,       2123,       2165,     2195.8,    2397.12,    2189.93,  2167.8205,        1273800,        1353760,         798876
20210517,       2450,       2453,       2189,       2230,     2234.4,    2412.76,    2186.21,  2292.1441,        2312800,        1258200,         793612
20210514,       2220,       2259,       2155,       2200,     2278.6,    2421.12,    2181.08,   2189.503,         903400,         912040,         738720
20210513,       2111,       2185,       2093,       2137,     2333.8,     2431.4,    2176.92,  2141.2094,        1181600,         833840,         764332
20210512,       2364,       2407,       2194,       2247,     2388.4,    2443.76,     2175.1,  2270.5956,        1097200,         697160,         816456
20210511,       2405,       2433,       2348,       2358,     2429.4,    2444.92,    2170.62,  2378.8293,         796000,         563820,         805872
20210510,       2493,       2538,       2441,       2451,     2457.8,    2438.96,    2165.44,  2476.9045,         582000,         529400,         797192
20210507,       2401,       2487,       2401,       2476,     2457.6,    2428.76,    2159.37,  2461.6194,         512400,         562020,         796964
20210506,       2426,       2454,       2391,       2410,     2472.6,    2414.32,    2153.72,   2416.564,         498200,         685620,         797052
20210430,       2485,       2523,       2443,       2452,       2478,    2403.96,    2150.33,  2464.3099,         430500,         694820,         793712
20210428,       2406,       2518,       2403,       2500,     2477.4,    2393.48,    2144.42,  2481.8056,         623900,         750020,         796712
20210427,       2574,       2575,       2442,       2450,     2444.6,    2379.96,    2136.32,  2489.1123,         745100,         753720,         798056
20210426,       2476,       2556,       2460,       2551,     2439.8,    2371.76,    2127.54,   2527.319,        1130400,         732160,         796800
20210423,       2407,       2485,       2379,       2437,     2415.6,    2360.36,    2117.72,  2440.3335,         544200,         633360,         783208
20210422,       2386,       2449,       2360,       2449,     2418.8,    2352.12,    2109.45,  2418.5067,         706500,         690080,         790240
20210421,       2344,       2386,       2303,       2336,     2409.4,    2343.28,     2100.2,  2343.3803,         642400,         616780,         802048
20210420,       2388,       2428,       2342,       2426,     2430.2,    2337.24,     2092.5,  2382.0147,         637300,         605600,         802736
20210419,       2440,       2485,       2398,       2430,       2432,     2326.2,     2083.7,  2438.4343,         636400,         586460,         811108
20210416,       2418,       2491,       2416,       2453,     2432.4,    2314.64,    2073.97,  2455.9453,         827800,         606400,         814340
20210415,       2395,       2419,       2375,       2402,     2444.6,    2304.24,    2063.09,  2397.1429,         340000,         590920,         820848
20210414,       2435,       2456,       2378,       2440,     2473.6,    2290.08,    2052.82,  2413.6206,         586500,         710000,         854492
20210413,       2400,       2457,       2374,       2435,     2496.8,    2275.72,    2041.49,  2420.4529,         541600,         821140,         854660
20210412,       2489,       2511,       2406,       2432,     2497.6,    2262.48,    2029.36,  2441.6097,         736100,         900920,         876520
20210409,       2547,       2572,       2487,       2514,     2502.6,     2252.2,     2018.2,  2526.2227,         750400,        1062440,         880396
20210408,       2572,       2581,       2502,       2547,       2489,    2239.24,    2005.84,  2544.2047,         935400,        1409300,         899612
20210407,       2430,       2557,       2420,       2556,     2434.8,       2229,    1992.64,  2498.7289,        1142200,        1388740,         899244
20210406,       2505,       2505,       2393,       2439,     2365.4,    2221.44,    1979.56,  2441.2476,         940500,        1276100,         892900
