日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
20210917,       1780,       1780,       1719,       1740,     1806.6,    1590.88,    1574.62,  1740.8763,        1458100,        3195740,        1581652
20210916,       1810,       1917,       1710,       1740,     1803.6,    1574.08,    1575.46,   1782.484,        5254700,        3081860,        1573836
20210915,       1946,       1973,       1738,       1790,     1783.6,    1553.56,    1576.46,   1822.185,        2428100,        2149300,        1405104
20210914,       1783,       2147,       1716,       1956,     1760.6,    1534.56,    1576.32,  1960.5542,        5440100,        1812140,        1332408
20210913,       1748,       1841,       1743,       1807,     1687.4,    1511.04,    1572.94,  1803.1042,        1397700,         900620,        1131520
20210910,       1655,       1730,       1654,       1725,       1637,    1492.92,     1571.8,  1701.3853,         888700,         849020,        1099864
20210909,       1656,       1674,       1612,       1640,       1612,    1477.12,    1571.77,  1642.4551,         591900,         906400,        1088440
20210908,       1610,       1679,       1597,       1675,     1617.4,    1463.92,    1572.86,  1649.3944,         742300,        1175940,        1089928
20210907,       1560,       1635,       1560,       1590,       1611,    1449.72,    1573.98,  1601.1095,         882500,        1289240,        1082320
20210906,       1596,       1597,       1533,       1555,     1604.4,    1438.92,    1576.05,  1558.1351,        1139700,        1337840,        1068848
20210903,       1666,       1673,       1566,       1600,     1595.6,    1428.64,    1578.85,   1601.006,        1175600,        1384160,        1046212
20210902,       1683,       1760,       1653,       1667,     1590.2,    1417.36,    1581.13,  1702.3241,        1939600,        1385400,        1020884
20210901,       1565,       1650,       1562,       1643,     1568.8,    1402.64,    1581.93,  1619.2333,        1308800,        1347700,         970628
20210831,       1499,       1565,       1480,       1557,     1565.8,    1390.92,       1584,  1534.6466,        1125500,        1509820,         937964
20210830,       1576,       1594,       1472,       1511,     1549.6,    1383.04,    1586.94,  1511.7392,        1371300,        1445760,         921608
20210827,       1540,       1613,       1530,       1573,     1530.2,     1376.8,    1589.73,  1585.4263,        1181800,        1360640,         891092
20210826,       1588,       1618,       1529,       1560,     1488.4,    1369.04,    1591.93,  1585.2237,        1751100,        1722020,         871004
20210825,       1500,       1642,       1495,       1628,     1471.6,    1362.96,    1595.72,  1578.0051,        2119400,        1597620,         820132
